ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend,ctr,cvr,cpc,cpa,high_performer
enriched_ad_0001,campaign_007,AMAZING GRACE FELLOWSHIP,"1061 Eastland Drive North, Twin Falls Idaho. Service times: Sundays at 8:30 and 10:30 AM Go to agf.org for more information.",,,,image,ecommerce,48060,849,80,826.61,0.01766541822721598,0.09422850412249706,0.9736277974087162,10.332625,0
enriched_ad_0002,campaign_013,Zolucky,"- Up to -
50%",Shop Now,,,image,ecommerce,46854,816,78,790.56,0.01741580227942118,0.09558823529411764,0.9688235294117646,10.135384615384615,0
enriched_ad_0003,campaign_042,Academy Presents Hang With Terrrell Owens And Friends!,Join us for an exciting event featuring COWBOYS AT CHIEFS SUN on November 21 at 4:25 PM EST. Get your FREE tickets now.,Get Your Free Tickets,,,image,entertainment,35111,834,105,252.85,0.02375323972544217,0.12589928057553956,0.30317745803357316,2.408095238095238,1
enriched_ad_0004,campaign_022,Time to OREGON's MT. HOOD TERRITORY SPRUCE THINGS UP,,Learn More,,,image,ecommerce,84574,1188,72,981.45,0.014046870196514296,0.06060606060606061,0.8261363636363637,13.631250000000001,0
enriched_ad_0005,campaign_037,FARMERS INSURANCE,"Jeremy Belcourt | CONSTRUCTION COSTS | Ensure you're prepared. ARE RISING, IS YOUR HOME COVERED ADEQUATELY? Review Your Coverage Call Now at 406-543-6177.",Review Your Coverage,,,image,ecommerce,37296,540,55,394.54,0.01447876447876448,0.10185185185185185,0.7306296296296296,7.173454545454546,0
enriched_ad_0006,campaign_004,Why Robotic Surgery?,"Less pain, less scarring, faster recovery",,,,image,healthcare,39517,532,27,841.57,0.013462560417035706,0.05075187969924812,1.5818984962406015,31.16925925925926,0
enriched_ad_0007,campaign_043,Find Your Forecast,AccuWeather provides accurate weather forecasts for wherever you need it.,,,,image,ecommerce,94263,1001,48,1061.24,0.010619224934491795,0.04795204795204795,1.0601798201798203,22.109166666666667,0
enriched_ad_0008,campaign_015,Visit AccuWeather,"Find your forecast when you need it, where you need it.",,,,image,ecommerce,77074,1147,115,1385.84,0.014881801904663051,0.1002615518744551,1.2082301656495205,12.050782608695652,0
enriched_ad_0009,campaign_034,Become A Weather Insider,"Get detailed information about the latest weather forecasts, trends, and upcoming meteorological events.",LISTEN NOW,smart speakers,,image,ecommerce,83523,1032,64,1281.05,0.012355878021622786,0.06201550387596899,1.241327519379845,20.01640625,0
enriched_ad_0010,campaign_026,KIDS WANT CANDY. THE TOBACCO INDUSTRY WANTS CUSTOMERS.,Learn the tobacco industry's latest tricks and how to fight back. Learn More > HHSA Spored by the County of San Diego Health LIVE WELL and Human Services Agency,,,,image,"healthcare, education",52881,744,46,606.94,0.014069325466613717,0.06182795698924731,0.8157795698924732,13.194347826086958,0
enriched_ad_0011,campaign_047,Pella 20% OFF Qualifying Windows & Doors BLACK,Excludes vinyl products. Offer is good for product only and does not include installation.,LEARN MORE,,,image,ecommerce,70436,857,76,1106.49,0.012167073655517065,0.08868144690781797,1.291120186697783,14.559078947368421,0
enriched_ad_0012,campaign_012,It's Diabetes Awareness Month!,"Have Diabetes? Not Sure?
Paths to Health
Tools for Healthier Living
NMDOH
New Mexico Department of Health",,,,image,healthcare,44109,817,37,639.01,0.018522297036885897,0.04528763769889841,0.782141982864137,17.27054054054054,0
