ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_0001,campaign_007,AMAZING GRACE FELLOWSHIP,"1061 Eastland Drive North, Twin Falls Idaho. Service times: Sundays at 8:30 and 10:30 AM Go to agf.org for more information.",,,,image,ecommerce,48060,849,80,826.61
enriched_ad_0002,campaign_013,Zolucky,"- Up to -
50%",Shop Now,,,image,ecommerce,46854,816,78,790.56
enriched_ad_0003,campaign_042,Academy Presents Hang With Terrrell Owens And Friends!,Join us for an exciting event featuring COWBOYS AT CHIEFS SUN on November 21 at 4:25 PM EST. Get your FREE tickets now.,Get Your Free Tickets,,,image,entertainment,35111,834,105,252.85
enriched_ad_0004,campaign_022,Time to OREGON's MT. HOOD TERRITORY SPRUCE THINGS UP,,Learn More,,,image,ecommerce,84574,1188,72,981.45
enriched_ad_0005,campaign_037,FARMERS INSURANCE,"Jeremy Belcourt | CONSTRUCTION COSTS | Ensure you're prepared. ARE RISING, IS YOUR HOME COVERED ADEQUATELY? Review Your Coverage Call Now at 406-543-6177.",Review Your Coverage,,,image,ecommerce,37296,540,55,394.54
enriched_ad_0006,campaign_004,Why Robotic Surgery?,"Less pain, less scarring, faster recovery",,,,image,healthcare,39517,532,27,841.57
enriched_ad_0007,campaign_043,Find Your Forecast,AccuWeather provides accurate weather forecasts for wherever you need it.,,,,image,ecommerce,94263,1001,48,1061.24
enriched_ad_0008,campaign_015,Visit AccuWeather,"Find your forecast when you need it, where you need it.",,,,image,ecommerce,77074,1147,115,1385.84
enriched_ad_0009,campaign_034,Become A Weather Insider,"Get detailed information about the latest weather forecasts, trends, and upcoming meteorological events.",LISTEN NOW,smart speakers,,image,ecommerce,83523,1032,64,1281.05
enriched_ad_0010,campaign_026,KIDS WANT CANDY. THE TOBACCO INDUSTRY WANTS CUSTOMERS.,Learn the tobacco industry's latest tricks and how to fight back. Learn More > HHSA Spored by the County of San Diego Health LIVE WELL and Human Services Agency,,,,image,"healthcare, education",52881,744,46,606.94
enriched_ad_0011,campaign_047,Pella 20% OFF Qualifying Windows & Doors BLACK,Excludes vinyl products. Offer is good for product only and does not include installation.,LEARN MORE,,,image,ecommerce,70436,857,76,1106.49
enriched_ad_0012,campaign_012,It's Diabetes Awareness Month!,"Have Diabetes? Not Sure?
Paths to Health
Tools for Healthier Living
NMDOH
New Mexico Department of Health",,,,image,healthcare,44109,817,37,639.01
enriched_ad_0013,campaign_048,It's Diabetes Awareness Month!,"Have Diabetes? Not Sure?
Paths to Health
Tools for Healthier Living
NMDOH",,,,image,healthcare,63167,935,53,980.37
enriched_ad_0014,campaign_001,WALSER - AUTO CAMPUS Wichita,We will buy your car. It's that simple.,Shop Now,,,image,automotive,26808,306,7,374.41
enriched_ad_0015,campaign_002,WALSER AUTO CAMPUS,Wichita WE'LL BUY YOUR CAR. IT'S THAT SIMPLE Learn More,,,,image,automotive,74505,969,35,1719.52
enriched_ad_0016,campaign_035,More Ways to Play Prairie Casino & Resort,,,,,video,entertainment,96403,2663,466,764.87
enriched_ad_0017,campaign_039,More Ways to Play Prairie Band Casino & Resort,,,,,video,ecommerce,70972,1359,109,921.19
