ad_id,headline_len,body_len,cta_len,headline_word_count,body_word_count,cta_word_count,headline_caps_ratio,body_caps_ratio,headline_has_numbers,body_has_numbers,headline_has_percent,body_has_percent,headline_urgency,body_urgency,headline_positive,body_positive,headline_exclamation,headline_question,body_exclamation,body_question,platform_encoded,ad_format_encoded,category_encoded,call_to_action_encoded,platform_facebook,platform_smart speakers,ad_format_image,category_automotive,category_ecommerce,"category_ecommerce, saas","category_ecommerce, saas, education, healthcare, finance, entertainment, travel, food, automotive, real_estate",category_education,category_entertainment,category_finance,category_healthcare,"category_healthcare, education",platform_instagram,platform_format_interaction,impressions,clicks,conversions,spend,ctr,cvr,cpc,cpa,revenue_efficiency,cost_per_thousand_impressions,engagement_score,headline_len_x_ctr,body_len_x_cvr,platform_format_interaction,total_urgency_score,urgency_level,high_performer
enriched_ad_0001_original,24,124,0,3,21,0,1.0,0.12790697674418605,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1194,21,1,42.506848755067914,0.0176654182272159,0.047619047619047616,2.024135655003234,42.506848755067914,0.02352562067732142,35.60037584176543,0.02964686998394859,0.4239700374531816,5.904761904761904,0,0,0,0
enriched_ad_0002_original,7,13,0,1,5,0,0.14285714285714285,0.25,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,995,17,1,34.66554198698995,0.0174158022794211,0.058823529411764705,2.0391495286464676,34.66554198698995,0.028847089723140693,34.83974069044216,0.03397889313235854,0.12191061595594768,0.7647058823529411,0,0,0,0
enriched_ad_0003_original,54,119,0,8,23,0,0.17391304347826086,0.33707865168539325,0,1,0,0,0,1,0,1,1,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,1073,25,1,70.15108376243087,0.0237532397254421,0.04,2.806043350497235,70.15108376243087,0.01425494727047319,65.37845644215365,0.03025194383526526,1.2826749451738735,4.76,0,1,1,0
enriched_ad_0004_original,52,0,0,9,0,0,0.8571428571428571,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1059,14,1,31.82351197809082,0.0140468701965142,0.07142857142857142,2.2731079984350586,31.82351197809082,0.03142330741775009,30.050530668641002,0.03699955068933709,0.7304372502187384,0.0,0,0,0,0
enriched_ad_0005_original,17,154,0,2,23,0,1.0,0.5398230088495575,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1129,16,1,26.273406090622107,0.0144787644787644,0.0625,1.6420878806638817,26.273406090622107,0.038061300333531355,23.271396005865462,0.03368725868725864,0.2461389961389948,9.625,0,1,1,0
enriched_ad_0006_original,20,41,0,3,6,0,0.17647058823529413,0.029411764705882353,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,857,11,1,23.039113264058223,0.0134625604170357,0.09090909090909091,2.094464842187111,23.039113264058223,0.04340444827622915,26.883446049076106,0.044441172613857785,0.269251208340714,3.7272727272727275,0,0,0,0
enriched_ad_0007_original,18,73,0,3,10,0,0.1875,0.031746031746031744,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1151,12,1,19.514659285828976,0.0106192249344917,0.08333333333333333,1.6262216071524147,19.514659285828976,0.05124352853683555,16.954525878218053,0.039704868294028355,0.1911460488208506,6.083333333333333,0,0,0,0
enriched_ad_0008_original,17,55,0,2,11,0,0.1875,0.023255813953488372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1060,15,1,40.3041961530641,0.014881801904663,0.06666666666666667,2.686946410204273,40.3041961530641,0.024811312355722936,38.02282655949443,0.035595747809464465,0.252990632379271,3.6666666666666665,0,0,0,0
enriched_ad_0009_original,24,104,0,4,13,0,0.19047619047619047,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,True,True,False,True,False,False,False,False,False,False,False,0,0,864,10,1,21.02794134694637,0.0123558780216227,0.1,2.102794134694637,21.02794134694637,0.047555772745448414,24.337895077484227,0.04741352681297363,0.2965410725189448,10.4,0,0,0,0
enriched_ad_0010_original,54,160,0,8,29,0,1.0,0.17829457364341086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,False,True,False,False,False,False,False,False,False,False,True,0,0,993,13,1,31.892013360623714,0.0140693254666137,0.07692307692307693,2.453231796971055,31.892013360623714,0.031355812776457555,32.11683117887584,0.03921082604919899,0.7597435751971398,12.307692307692308,0,0,0,0
enriched_ad_0011_original,46,90,0,8,14,0,0.34285714285714286,0.02666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,866,10,1,24.51327188128549,0.012167073655517,0.1,2.451327188128549,24.51327188128549,0.04079422791224553,28.306318569613733,0.047300244193310206,0.559685388153782,9.0,0,0,0,0
enriched_ad_0012_original,30,105,0,4,17,0,0.16,0.20689655172413793,0,0,0,0,0,0,0,0,1,0,0,2,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,832,15,1,27.536251406400176,0.0185222970368858,0.06666666666666667,1.8357500937600117,27.536251406400176,0.03631576372692373,33.0964560173079,0.037780044888798145,0.555668911106574,7.0,0,0,0,0
enriched_ad_0013_original,30,73,0,4,12,0,0.16,0.23333333333333334,0,0,0,0,0,0,0,0,1,0,0,2,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,805,11,1,27.909680384421605,0.0148020327069514,0.09090909090909091,2.537243671311055,27.909680384421605,0.035829862120462394,34.67041041543057,0.04524485598780721,0.444060981208542,6.636363636363637,0,0,0,0
enriched_ad_0014_original,28,39,0,5,8,0,0.7391304347826086,0.06896551724137931,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,0,0,1078,12,1,25.191693232893773,0.011414503133393,0.08333333333333333,2.0993077694078144,25.191693232893773,0.03969562469482048,23.368917655745612,0.04018203521336913,0.319606087735004,3.25,0,0,0,0
enriched_ad_0015_original,18,55,0,3,10,0,1.0,0.6976744186046512,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,0,0,1089,14,1,37.26647150417284,0.0130058385343265,0.07142857142857142,2.6618908217266317,37.26647150417284,0.026833772011069706,34.22081864478682,0.03637493169202447,0.234105093617877,3.9285714285714284,0,0,0,0
enriched_ad_0016_original,41,0,0,8,0,0,0.18181818181818182,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,833,23,1,47.55644142040024,0.0276236216715247,0.043478260869565216,2.067671366104358,47.55644142040024,0.021027645680213383,57.09056593085263,0.0339654773507409,1.1325684885325127,0.0,0,0,0,0
enriched_ad_0017_original,46,0,0,9,0,0,0.1891891891891892,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,860,16,1,24.282546093617633,0.0191483965507524,0.0625,1.517659130851102,24.282546093617633,0.04118184296426962,28.235518713508874,0.03648903793045144,0.8808262413346104,0.0,0,0,0,0
enriched_ad_0018_original,61,64,0,10,12,0,1.0,0.23076923076923078,1,0,0,0,1,0,0,1,1,0,1,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,942,18,1,30.856239279594305,0.0192967506110824,0.05555555555555555,1.714235515533017,30.856239279594305,0.032408356408530806,32.75609265349714,0.033800272588871666,1.1771017872760265,3.5555555555555554,0,1,1,0
enriched_ad_0019_original,21,94,0,3,14,0,0.15789473684210525,0.32051282051282054,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,1160,18,1,46.38640791369145,0.0162111853794737,0.05555555555555555,2.577022661871747,46.38640791369145,0.021558039196754426,39.98828268421676,0.031948933449906444,0.3404348929689477,5.222222222222222,0,1,1,0
enriched_ad_0020_original,9,0,0,2,0,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,False,True,False,False,False,False,True,False,False,False,False,0,0,894,15,1,30.272483693028853,0.0175671747165579,0.06666666666666667,2.018165579535257,30.272483693028853,0.03303329882477664,33.86183858280632,0.03720697149660141,0.1581045724490211,0.0,0,0,0,0
enriched_ad_0021_original,11,0,0,1,0,0,0.09090909090909091,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,False,True,False,False,False,False,False,False,False,False,False,0,0,951,18,1,41.946988556145115,0.0198408067038584,0.05555555555555555,2.330388253119173,41.946988556145115,0.023839613627126586,44.10829501171937,0.034126706244537265,0.21824887374244242,0.0,0,0,0,0
enriched_ad_0022_original,38,113,0,5,15,0,0.8235294117647058,0.1595744680851064,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,False,True,False,False,False,True,False,False,False,False,False,0,0,976,17,1,36.104610478583716,0.0174551154174978,0.058823529411764705,2.1238006163872774,36.104610478583716,0.027697293690321714,36.99242876904069,0.03400248101520456,0.6632943858649164,6.647058823529411,0,0,0,0
enriched_ad_0023_original,22,0,0,2,0,0,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,False,True,False,False,False,False,False,False,False,False,False,0,0,1015,26,1,70.25052806274846,0.026466930311203,0.038461538461538464,2.701943387028787,70.25052806274846,0.014234768443402877,69.212342918964,0.03126477357133718,0.582272466846466,0.0,0,0,0,0
enriched_ad_0024_original,17,76,0,2,8,0,1.0,0.9069767441860465,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,False,True,False,True,False,False,False,False,False,False,False,0,0,1028,13,1,19.86840971702369,0.012917519628929,0.07692307692307693,1.5283392090018224,19.86840971702369,0.05033115454344481,19.32724680644328,0.03851974254658817,0.219597833691793,5.846153846153847,0,0,0,0
enriched_ad_0025_original,21,0,0,3,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,906,12,1,24.142588480521894,0.0137620729580396,0.08333333333333333,2.0118823733768245,24.142588480521894,0.04142057927246676,26.647448653997674,0.04159057710815709,0.28900353211883156,0.0,0,0,0,0
enriched_ad_0026_original,19,0,0,4,0,0,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,1165,30,1,66.1275644517149,0.0258559438696212,0.03333333333333333,2.2042521483904967,66.1275644517149,0.015122286875243697,56.76185789846773,0.028846899655106055,0.4912629335228028,0.0,0,0,0,0
enriched_ad_0027_original,19,0,0,3,0,0,0.29411764705882354,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,947,11,1,31.91428222511798,0.0124498663101604,0.09090909090909091,2.9012983841016347,31.91428222511798,0.0313339335958167,33.70040361680885,0.04383355614973261,0.2365474598930476,0.0,0,0,0,0
enriched_ad_0028_original,40,41,0,6,6,0,0.4117647058823529,0.15384615384615385,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,920,15,1,32.75774658286151,0.0170642596174511,0.06666666666666667,2.1838497721907673,32.75774658286151,0.030527130352830466,35.60624628571903,0.03690522243713733,0.682570384698044,2.7333333333333334,0,1,1,0
