ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_5001,campaign_033,Spring has Arrived,Shopico.ca offers you the best local deals for spring season. Don't miss out on our exclusive collection of fresh and trendy items.,SHOP NOW,facebook,,image,ecommerce,93610,1274,66,1359.29
enriched_ad_5002,campaign_002,California Coastal,"A TRADITION IN THE MAKING June 4-8, 2023 RESERVE CALIFORNIA Robb Report COASTAL 2035",,,,image,entertainment,37299,734,102,195.19
enriched_ad_5003,campaign_039,HERO WARS,,Try Now,,,image,entertainment,56929,979,141,376.84
enriched_ad_5004,campaign_004,Save on AAHLEYS FURNITURE,20% OFF ALL ITEMS FOR 0% INTEREST ON MINIMUM PURCHASE OF $1499. NO SALES TAX!,SHOP NOW,,,image,ecommerce,83766,1595,122,1294.67
enriched_ad_5005,campaign_024,CANTO - Ranked #1,DAM Platform by G2. Start your free trial.,Start Your Free Trial,,,image,ecommerce,63894,733,61,699.87
enriched_ad_5006,campaign_001,ENROLL IN OUR ESL PROGRAM TODAY,,LEARN MORE,,,image,education,61424,1079,146,426.57
enriched_ad_5007,campaign_030,Which Office Is Right For You?,Find Out With Our Exclusive Offer!,,,,image,ecommerce,76382,1545,94,1100.79
enriched_ad_5008,campaign_028,Managed Liquid Web Hosting,"Dedicated hosting with guaranteed uptime, powered by our own network and power sources. Enjoy uninterrupted service at all times.",Shop Now,,,image,ecommerce,48104,696,38,517.8
enriched_ad_5009,campaign_037,"Train WITH VERY SPECIAL GUEST BETTER THAN EZRA M FRIDAY, JULY 21 OXBOW RIVERSTAGE",,,,,image,entertainment,99534,2288,249,784.49
enriched_ad_5010,campaign_030,Build Real-Time Features for Your App,"Without the Complex Infrastructure, Pusher is here to help. As part of our family at MessageBird and MM, we bring you seamless integration with project notes shared among your team.",,,,image,ecommerce,71780,1057,87,805.63
enriched_ad_5011,campaign_015,Leading Medicine,"Methodist salutes its nurses, recognized as Magnet by the American Nurses Credentialing Center.",,,,image,healthcare,57956,745,31,1214.25
enriched_ad_5012,campaign_043,Calling all who code,2023 Developer Survey calling all developers to participate in our annual survey.,,,,image,ecommerce,62622,1137,90,766.54
enriched_ad_5013,campaign_012,Human Forward,"Randstad is committed to empowering your workforce with innovative solutions that drive success. Our human-forward approach ensures seamless integration of technology and people, creating an environment where every employee thrives.",Learn More About Randstad's Human-Forward Approach,facebook,,image,ecommerce,64453,1165,101,654.4
enriched_ad_5014,campaign_038,"Give Hope, Get Cookies",Cookies for Kids Cancer. Let's get baking.,,,,image,food,38682,713,72,539.04
enriched_ad_5015,campaign_036,Western Conference Final,,,,,image,entertainment,37350,645,62,275.39
enriched_ad_5016,campaign_028,Live webinar Overcoming Obstacles to Automation Challenges Learnings from the 2023 State of Process ,,,,,video,education,21729,594,65,150.99
